,toxin_id,cas_number
346,T3D0424,"37680-69-6"
347,T3D0426,"38444-90-5"
348,T3D0427,"53555-66-1"
349,T3D0428,"38444-88-1"
350,T3D0429,"38444-93-8"
351,T3D0430,"52663-59-9"
352,T3D0431,"36559-22-5"
353,T3D0432,"70362-46-8"
354,T3D0433,"41464-39-5"
355,T3D0434,"70362-45-7"
356,T3D0435,"41464-47-5"
357,T3D0437,"70362-47-9"
358,T3D0438,"41464-40-8"
359,T3D0439,"62796-65-0"
360,T3D0440,"68194-04-7"
361,T3D0441,"35693-99-3"
362,T3D0442,"41464-41-9"
363,T3D0443,"15968-05-5"
364,T3D0444,"74338-24-2"
365,T3D0445,"41464-43-1"
366,T3D0446,"70424-67-8"
367,T3D0447,"41464-49-7"
368,T3D0448,"74472-33-6"
369,T3D0449,"33025-41-1"
370,T3D0450,"33284-53-6"
371,T3D0451,"54230-22-7"
372,T3D0452,"74472-34-7"
373,T3D0453,"52663-58-8"
374,T3D0454,"33284-54-7"
375,T3D0455,"32598-10-0"
376,T3D0456,"73575-53-8"
377,T3D0457,"73575-52-7"
378,T3D0458,"60233-24-1"
379,T3D0459,"32598-11-1"
380,T3D0460,"41464-46-4"
381,T3D0461,"41464-42-0"
382,T3D0462,"74338-23-1"
383,T3D0463,"32690-93-0"
384,T3D0464,"32598-12-2"
385,T3D0465,"70362-48-0"
386,T3D0466,"32598-13-3"
387,T3D0467,"70362-49-1"
388,T3D0468,"41464-48-6"
389,T3D0470,"70362-50-4"
390,T3D0472,"60145-20-2"
391,T3D0473,"52663-60-2"
392,T3D0474,"65510-45-4"
393,T3D0475,"55312-69-1"
394,T3D0476,"38380-02-8"
395,T3D0477,"55215-17-3"
396,T3D0478,"73575-57-2"
397,T3D0479,"68194-07-0"
398,T3D0480,"68194-05-8"
399,T3D0481,"52663-61-3"
400,T3D0482,"73575-56-1"
401,T3D0483,"73575-55-0"
402,T3D0484,"38379-99-6"
403,T3D0485,"73575-54-9"
404,T3D0486,"41464-51-1"
405,T3D0487,"60233-25-2"
406,T3D0488,"38380-01-7"
407,T3D0489,"39485-83-1"
408,T3D0490,"37680-73-2"
409,T3D0491,"68194-06-9"
410,T3D0492,"60145-21-3"
411,T3D0493,"56558-16-8"
412,T3D0494,"32598-14-4"
413,T3D0495,"70424-69-0"
414,T3D0496,"70424-68-9"
415,T3D0497,"70362-41-3"
416,T3D0498,"74472-35-8"
417,T3D0499,"38380-03-9"
418,T3D0500,"39635-32-0"
419,T3D0501,"74472-36-9"
420,T3D0502,"68194-10-5"
421,T3D0503,"74472-37-0"
422,T3D0504,"74472-38-1"
423,T3D0505,"18259-05-7"
424,T3D0506,"68194-11-6"
425,T3D0507,"31508-00-6"
426,T3D0508,"56558-17-9"
427,T3D0509,"68194-12-7"
428,T3D0510,"56558-18-0"
429,T3D0511,"76842-07-4"
430,T3D0512,"65510-44-3"
431,T3D0513,"70424-70-3"
432,T3D0514,"74472-39-2"
433,T3D0515,"57465-28-8"
434,T3D0516,"39635-33-1"
435,T3D0518,"55215-18-4"
436,T3D0519,"52663-66-8"
437,T3D0520,"61798-70-7"
438,T3D0521,"38380-05-1"
439,T3D0522,"35694-04-3"
440,T3D0523,"52704-70-8"
441,T3D0524,"52744-13-5"
442,T3D0525,"38411-22-2"
443,T3D0526,"35694-06-5"
444,T3D0527,"35065-28-2"
445,T3D0528,"56030-56-9"
446,T3D0529,"59291-64-4"
447,T3D0530,"52712-04-6"
448,T3D0531,"41411-61-4"
449,T3D0532,"68194-15-0"
450,T3D0533,"68194-14-9"
451,T3D0534,"74472-40-5"
452,T3D0535,"51908-16-8"
453,T3D0536,"68194-13-8"
454,T3D0537,"74472-41-6"
455,T3D0538,"38380-04-0"
456,T3D0539,"68194-08-1"
457,T3D0540,"52663-63-5"
458,T3D0541,"68194-09-2"
459,T3D0542,"35065-27-1"
460,T3D0543,"60145-22-4"
461,T3D0544,"33979-03-2"
462,T3D0545,"38380-08-4"
463,T3D0546,"69782-90-7"
464,T3D0547,"74472-42-7"
465,T3D0548,"39635-35-3"
466,T3D0549,"41411-62-5"
467,T3D0550,"74472-43-8"
468,T3D0551,"39635-34-2"
469,T3D0552,"74472-44-9"
470,T3D0553,"74472-45-0"
471,T3D0554,"74472-46-1"
472,T3D0555,"41411-63-6"
473,T3D0556,"52663-72-6"
474,T3D0557,"59291-65-5"
475,T3D0558,"32774-16-6"
476,T3D0559,"35065-30-6"
477,T3D0560,"52663-71-5"
478,T3D0561,"52663-74-8"
479,T3D0562,"68194-16-1"
480,T3D0563,"38411-25-5"
481,T3D0564,"40186-70-7"
482,T3D0565,"52663-65-7"
483,T3D0566,"52663-70-4"
484,T3D0567,"52663-67-9"
485,T3D0568,"52663-64-6"
486,T3D0569,"35065-29-3"
487,T3D0570,"74472-47-2"
488,T3D0571,"60145-23-5"
489,T3D0572,"52663-69-1"
490,T3D0573,"74472-48-3"
491,T3D0574,"52712-05-7"
492,T3D0575,"74472-49-4"
493,T3D0576,"52663-68-0"
494,T3D0577,"74487-85-7"
495,T3D0578,"39635-31-9"
496,T3D0579,"41411-64-7"
497,T3D0580,"74472-50-7"
498,T3D0581,"74472-51-8"
499,T3D0582,"69782-91-8"
500,T3D0583,"35694-08-7"
501,T3D0584,"52663-78-2"
502,T3D0585,"42740-50-1"
503,T3D0586,"33091-17-7"
504,T3D0587,"68194-17-2"
505,T3D0588,"52663-75-9"
506,T3D0589,"52663-73-7"
507,T3D0590,"40186-71-8"
508,T3D0591,"2136-99-4"
509,T3D0592,"52663-76-0"
510,T3D0593,"74472-52-9"
511,T3D0594,"74472-53-0"
512,T3D0595,"40186-72-9"
513,T3D0596,"52663-79-3"
514,T3D0597,"52663-77-1"
515,T3D0598,"2051-24-3"
516,T3D0616,"19679-38-0"
517,T3D0617,"510-15-6"
518,T3D0618,"208-96-8"
